104,104,26
1,46,1,1
1,97,1,1
1,29,3,1
1,38,3,1
1,44,3,1
1,50,3,1
1,67,3,1
1,70,3,1
1,72,3,1
1,73,3,1
1,75,3,1
1,79,3,1
1,82,3,1
1,85,3,1
1,88,3,1
1,103,3,1
1,21,5,1
1,30,5,1
1,35,5,1
1,40,5,1
1,47,5,1
1,74,5,1
1,83,5,1
1,84,5,1
1,87,5,1
1,91,5,1
1,99,5,1
1,102,5,1
1,89,8,1
1,90,8,1
1,94,8,1
1,98,8,1
1,101,8,1
1,45,9,1
1,2,10,1
1,6,10,1
1,10,10,1
1,20,10,1
1,52,11,1
1,53,11,1
1,56,11,1
1,58,11,1
1,59,11,1
1,62,11,1
1,8,12,1
1,11,12,1
1,22,12,1
1,68,12,1
1,3,13,1
1,9,13,1
1,7,16,1
1,23,16,1
1,26,16,1
1,28,16,1
1,32,16,1
1,34,16,1
1,39,16,1
1,41,16,1
1,42,16,1
1,43,16,1
1,55,16,1
1,65,16,1
1,66,16,1
1,69,16,1
1,71,16,1
1,76,16,1
1,77,16,1
1,80,16,1
1,92,16,1
1,93,16,1
1,95,16,1
1,96,16,1
1,100,16,1
1,4,17,1
1,14,17,1
1,15,17,1
1,19,17,1
1,24,17,1
1,25,17,1
1,27,17,1
1,31,17,1
1,33,17,1
1,36,17,1
1,37,17,1
1,54,17,1
1,61,17,1
1,63,17,1
1,104,17,1
1,60,18,1
1,78,18,1
1,81,18,1
1,86,18,1
1,12,19,1
1,48,19,1
1,5,21,1
1,13,21,1
1,16,21,1
1,17,21,1
1,18,21,1
1,49,21,1
1,1,24,1
1,51,26,1
2,46,1,1
2,97,1,1
2,70,2,1
2,29,3,1
2,38,3,1
2,44,3,1
2,50,3,1
2,72,3,1
2,73,3,1
2,79,3,1
2,82,3,1
2,88,3,1
2,103,3,1
2,99,4,1
2,21,5,1
2,47,5,1
2,51,5,1
2,64,5,1
2,78,5,1
2,84,5,1
2,91,5,1
2,102,5,1
2,54,8,1
2,90,8,1
2,98,8,1
2,101,8,1
2,24,9,1
2,45,9,1
2,6,10,1
2,20,10,1
2,52,11,1
2,56,11,1
2,58,11,1
2,62,11,1
2,1,12,1
2,8,12,1
2,10,12,1
2,11,12,1
