14,14,56
1,14,3,1
1,5,4,1
1,6,4,1
1,8,4,1
1,10,4,1
1,11,4,1
1,12,4,1
1,13,4,1
1,14,4,1
1,4,6,1
1,6,6,1
1,11,6,1
1,12,6,1
1,13,6,1
1,14,6,1
1,13,9,1
1,14,9,1
1,13,10,1
1,14,10,1
1,3,15,1
1,14,25,1
1,10,26,1
1,13,26,1
1,8,27,1
1,13,27,1
1,14,28,1
1,14,31,1
1,14,33,1
1,14,34,1
1,14,35,1
1,14,36,1
1,10,37,1
1,13,37,1
1,14,37,1
1,10,38,1
1,13,38,1
1,14,38,1
1,4,39,1
1,5,39,1
1,6,39,1
1,7,39,1
1,8,39,1
1,10,39,1
1,11,39,1
1,13,39,1
1,14,39,1
1,4,40,1
1,6,40,1
1,8,40,1
1,10,40,1
1,13,40,1
1,14,40,1
1,4,41,1
1,5,41,1
1,6,41,1
1,8,41,1
1,10,41,1
1,11,41,1
1,13,41,1
1,14,41,1
1,6,42,1
1,8,42,1
1,10,42,1
1,13,42,1
1,14,42,1
1,4,43,1
1,6,43,1
1,8,43,1
1,10,43,1
1,13,43,1
1,14,43,1
1,6,44,1
1,8,44,1
1,10,44,1
1,11,44,1
1,13,44,1
1,14,44,1
1,5,45,1
1,6,45,1
1,7,45,1
1,10,45,1
1,11,45,1
1,12,45,1
1,13,45,1
1,14,45,1
1,5,46,1
1,6,46,1
1,7,46,1
1,10,46,1
1,11,46,1
1,12,46,1
1,13,46,1
1,14,46,1
1,3,48,1
1,4,48,1
1,5,48,1
1,6,48,1
1,10,48,1
1,11,48,1
1,12,48,1
1,13,48,1
1,14,48,1
1,3,51,1
1,4,51,1
1,5,51,1
1,10,51,1
1,11,51,1
1,12,51,1
1,13,51,1
1,14,51,1
1,3,52,1
1,4,52,1
1,11,52,1
1,12,52,1
1,3,53,1
1,4,53,1
1,11,53,1
1,12,53,1
1,14,54,1
1,2,55,1
1,5,55,1
1,6,55,1
1,7,55,1
1,8,55,1
1,9,55,1
1,10,56,1
1,13,56,1
1,14,56,1
2,3,3,1
2,3,4,1
2,3,5,1
2,6,5,1
2,6,6,1
2,7,6,1
2,12,6,1
2,13,6,1
2,14,6,1
2,13,9,1
2,14,9,1
2,13,10,1
2,14,10,1
2,10,26,1
2,13,26,1
2,14,26,1
2,13,27,1
2,3,37,1
2,6,37,1
2,7,37,1
2,12,37,1
2,13,37,1
2,3,38,1
2,6,38,1
2,7,38,1
2,12,38,1
2,13,38,1
2,6,39,1
2,1,40,1
2,4,40,1
2,5,40,1
2,6,40,1
2,7,40,1
2,8,40,1
2,9,40,1
2,10,40,1
2,11,40,1
2,13,40,1
2,14,40,1
2,1,42,1
2,4,42,1
2,5,42,1
2,6,42,1
2,7,42,1
2,8,42,1
2,10,42,1
2,13,42,1
2,14,42,1
2,1,43,1
2,5,43,1
2,6,43,1
2,7,43,1
2,10,43,1
2,13,43,1
2,14,43,1
2,1,44,1
2,6,44,1
2,8,44,1
2,10,44,1
2,13,44,1
2,14,44,1
2,3,45,1
2,5,45,1
2,6,45,1
2,7,45,1
2,8,45,1
2,11,45,1
2,12,45,1
2,13,45,1
2,14,45,1
2,3,46,1
2,5,46,1
2,6,46,1
2,7,46,1
2,8,46,1
2,11,46,1
2,12,46,1
2,13,46,1
2,14,46,1
2,13,47,1
2,14,47,1
2,13,50,1
2,12,53,1
2,14,53,1
2,1,55,1
2,3,55,1
2,4,55,1
2,10,55,1
2,11,55,1
2,12,55,1
2,13,55,1
2,14,55,1
2,5,56,1
2,6,56,1
2,7,56,1
2,8,56,1
2,9,56,1
3,5,1,1
3,7,1,1
3,5,2,1
3,7,2,1
3,2,3,1
3,4,3,1
3,5,3,1
3,7,3,1
3,11,3,1
3,12,3,1
3,7,4,1
3,2,5,1
3,4,5,1
3,5,5,1
3,7,5,1
3,13,9,1
3,14,9,1
3,13,10,1
3,14,10,1
3,6,11,1
3,14,11,1
3,6,12,1
3,14,12,1
3,6,13,1
3,14,13,1
3,6,14,1
3,14,14,1
3,6,15,1
3,7,15,1
3,12,15,1
3,13,15,1
3,14,15,1
3,12,18,1
3,14,19,1
3,6,20,1
3,7,20,1
3,12,20,1
3,13,20,1
3,14,20,1
3,6,21,1
3,7,21,1
3,12,21,1
3,13,21,1
3,14,21,1
3,6,22,1
3,7,22,1
3,12,22,1
3,13,22,1
3,12,25,1
3,14,25,1
3,12,28,1
3,12,29,1
3,14,31,1
3,4,36,1
3,12,36,1
3,4,37,1
3,12,37,1
3,13,37,1
3,1,40,1
3,6,40,1
3,10,40,1
3,11,40,1
3,1,42,1
3,5,42,1
3,6,42,1
3,8,42,1
3,10,42,1
3,11,42,1
3,12,42,1
3,13,42,1
3,14,42,1
3,1,43,1
3,4,43,1
3,5,43,1
3,6,43,1
3,10,43,1
3,11,43,1
3,12,43,1
3,13,43,1
3,14,43,1
3,1,44,1
3,6,44,1
3,8,44,1
3,10,44,1
3,11,44,1
3,13,44,1
3,14,44,1
3,2,45,1
3,4,45,1
3,5,45,1
3,6,45,1
3,7,45,1
3,10,45,1
3,11,45,1
3,12,45,1
3,13,45,1
3,2,46,1
3,4,46,1
3,5,46,1
3,6,46,1
3,7,46,1
3,10,46,1
3,11,46,1
3,12,46,1
3,13,46,1
3,6,47,1
3,13,47,1
3,14,47,1
3,1,48,1
3,4,48,1
3,5,48,1
3,6,48,1
3,10,48,1
3,11,48,1
3,12,48,1
3,13,48,1
3,14,48,1
3,1,51,1
3,4,51,1
3,5,51,1
3,9,51,1
3,10,51,1
3,11,51,1
3,12,51,1
3,13,51,1
3,14,51,1
3,1,52,1
3,10,52,1
3,13,52,1
3,14,52,1
3,1,53,1
3,10,53,1
3,13,53,1
3,14,53,1
3,4,54,1
3,2,55,1
3,5,55,1
3,6,55,1
3,7,55,1
3,8,55,1
3,9,55,1
3,4,56,1
3,11,56,1
3,12,56,1
4,3,3,1
4,13,3,1
4,14,3,1
4,3,4,1
4,5,4,1
4,6,4,1
4,7,4,1
4,13,4,1
4,14,4,1
4,3,5,1
4,5,5,1
4,12,5,1
4,1,6,1
4,6,6,1
4,11,6,1
4,12,6,1
4,13,6,1
4,14,6,1
4,7,15,1
4,13,15,1
4,14,15,1
4,13,18,1
4,14,20,1
4,14,21,1
4,14,25,1
4,8,26,1
4,10,26,1
4,13,26,1
4,14,26,1
4,8,27,1
4,13,27,1
4,12,30,1
4,14,31,1
4,14,32,1
4,14,33,1
4,3,36,1
4,12,36,1
4,3,37,1
4,12,37,1
4,3,38,1
4,12,38,1
4,13,38,1
4,1,39,1
4,10,39,1
4,13,39,1
4,14,39,1
4,1,40,1
4,5,40,1
4,6,40,1
4,7,40,1
4,8,40,1
4,10,40,1
4,11,40,1
4,13,40,1
4,14,40,1
4,1,41,1
4,10,41,1
4,14,41,1
4,1,42,1
4,5,42,1
4,6,42,1
4,8,42,1
4,10,42,1
4,11,42,1
4,13,42,1
4,14,42,1
4,1,43,1
4,5,43,1
4,6,43,1
4,8,43,1
4,10,43,1
4,13,43,1
4,14,43,1
4,1,44,1
4,6,44,1
4,8,44,1
4,10,44,1
4,11,44,1
4,13,44,1
