135,135,49
0,3,1,1
0,3,0,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,0
0,3,10,0
0,3,11,0
0,3,12,0
0,3,13,0
0,3,14,0
0,3,15,0
0,3,16,0
0,3,17,0
0,3,18,0
0,3,19,0
0,3,20,0
0,3,21,0
0,3,22,0
0,3,23,0
0,3,24,0
0,3,25,0
0,3,26,0
0,3,27,0
0,3,28,0
0,3,29,0
0,3,30,0
0,3,31,0
0,3,32,0
0,3,33,0
0,3,34,0
0,3,35,0
0,3,36,0
0,3,37,0
0,3,38,0
0,3,39,0
0,3,40,0
0,3,41,0
0,3,42,0
0,3,43,0
0,3,44,0
0,3,45,0
0,3,46,0
0,3,47,0
0,3,48,0
0,6,1,1
0,6,0,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,6,14,0
0,6,15,0
0,6,16,0
0,6,17,0
0,6,18,0
0,6,19,0
0,6,20,0
0,6,21,0
0,6,22,0
0,6,23,0
0,6,24,0
0,6,25,0
0,6,26,0
0,6,27,0
0,6,28,0
0,6,29,0
0,6,30,0
0,6,31,0
0,6,32,0
0,6,33,0
0,6,34,0
0,6,35,0
0,6,36,0
0,6,37,0
0,6,38,0
0,6,39,0
0,6,40,0
0,6,41,0
0,6,42,0
0,6,43,0
0,6,44,0
0,6,45,0
0,6,46,0
0,6,47,0
0,6,48,0
0,9,1,1
0,9,0,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,9,14,0
0,9,15,0
0,9,16,0
0,9,17,0
0,9,18,0
0,9,19,0
0,9,20,0
0,9,21,0
0,9,22,0
0,9,23,0
0,9,24,0
0,9,25,0
0,9,26,0
0,9,27,0
0,9,28,0
0,9,29,0
0,9,30,0
0,9,31,0
0,9,32,0
