Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  9.901439428329468
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.4051666324 0.421615939    0.04104      0.04444      24176.61     96184.69  
Using  0.05 of training data
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  1  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
   500       757.77     0.747      0.1395     0.6669     0.1112     2.7831     0.187     43910.52   6414.68      0.0    
   1000     1707.04     0.7309     0.1336     0.6331     0.1002     2.2248     0.1778    50640.47   7468.78      0.0    
   1500     2610.55     0.7283     0.1326     0.6223     0.0968     1.8526     0.3236    53037.46   7518.32      0.0    
   2000      3500.9     0.7297     0.1331     0.6248     0.0976     1.7493     0.321     54508.7    7799.78      0.0    
   2500     4385.19     0.7311     0.1336     0.6177     0.0954     1.5809     0.4346    55644.98   7786.93      0.0    
   3000     5261.62     0.7358     0.1354     0.6223     0.0968     1.3611     0.6289    56356.46   8136.87      0.0    
   3500     6128.98     0.7382     0.1362     0.6223     0.0968     1.2911     0.3795    56836.93   8212.74      0.0    
   4000     6996.62     0.7395     0.1367     0.628      0.0986     1.1299     0.7203    57775.4    8342.42      0.0    
   4500      7856.9     0.7418     0.1376     0.6312     0.0996     1.1189     0.6299    58055.87   8441.03      0.0    
   5000      8714.2     0.7397     0.1368     0.635      0.1008     1.0137     1.7548    58260.45   8431.15      0.0    
   5500     9573.49     0.7392     0.1366     0.6394     0.1022     0.9875     0.9231    58330.97   8604.01      0.0    
   6000     10425.64    0.7428     0.1379     0.6387     0.102      0.9589     1.8163    58206.04   8506.93      0.0    
   6500     11279.06    0.7437     0.1383     0.6387     0.102      0.8814     0.6066    58666.43    8498.2      0.0    
   7000     12134.8     0.744      0.1384      0.64      0.1024     0.8774     0.7613    58879.76   8596.54      0.0    
   7500     12985.83    0.7457     0.139      0.6362     0.1012     0.8096     0.6825    58929.05   8619.94      0.0    
   8000     13833.33    0.7437     0.1383     0.6394     0.1022     0.8293     1.0726    59066.82   8669.98      0.0    
