Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  11.449927806854248
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2444335923 0.2439155157 0.1700273363 0.1694225528  164279.27    654976.61  
Using  0.05 of training data
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  1  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
   500       756.92     8.7981     5.6475     8.785      5.6093     0.2337     0.0198   117725.47   23369.93     0.0    
   1000     1732.29     6.014      3.527      6.008      3.4918     0.0834     0.0159    64790.68   12858.06     0.0    
   1500     2687.29     4.6207     2.7067     4.6089     2.6827     0.0475     0.0127    51334.93   10171.61     0.0    
   2000     3649.93     3.877      2.3303     3.8576     2.3077     0.0341     0.0102    46702.74   9245.45      0.0    
   2500     4627.71     3.4377     2.1165     3.4032     2.0917     0.0353     0.0082    44651.94    8829.0      0.0    
   3000     5597.62     3.164      1.9828     3.1094     1.9452     0.0968     0.0067    43584.75   8601.65      0.0    
   3500     6562.99     2.9857     1.895      2.9204     1.8467     0.0488     0.0056    43014.93   8483.79      0.0    
   4000     7526.37     2.8662     1.8344     2.7974     1.7865     0.0435     0.0046    42647.27   8412.55      0.0    
   4500     8496.49     2.7875     1.7907     2.7152     1.7425     0.0287     0.0041    42429.37   8356.06      0.0    
   5000     9462.88     2.7334     1.7622     2.6512     1.7109     0.0389     0.0034    42304.61   8313.18      0.0    
   5500     10429.84    2.6932     1.7411     2.6121     1.6925     0.0301     0.003     42181.32   8297.64      0.0    
   6000     11403.64    2.6656     1.7265     2.5797     1.6734     0.0381     0.0027    42094.08   8281.83      0.0    
   6500     12369.12    2.6445     1.7166     2.5512     1.6539     0.0222     0.0023    42057.2    8263.69      0.0    
   7000     13334.71    2.6267     1.7064     2.5405     1.651      0.0455     0.0021    42017.14   8252.89      0.0    
   7500     14292.79    2.6222     1.7027     2.5279     1.6417     0.0373     0.002     41974.04   8238.87      0.0    
   8000     15245.75    2.6081     1.6945      2.51      1.6323     0.0345     0.0019    41943.8    8240.14      0.0    
