Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  4.179732322692871
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0          0.0          0.0     
Factorizing with max_iteration = 8000  fixing covariance?:  True
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.01  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       181.86     1.3711      0.47      1.3894     0.4826     3.1623       0        2065.7    8204.87     0.0002  
   100       384.21     0.8944      0.2       0.9072     0.2058     3.1623       0        1484.0    5982.97     0.0003  
   200       767.3      0.3975     0.0395     0.3912     0.0382     3.1622       0        228.77     933.82      0.0    
   500      1870.02      0.0        0.0        0.0        0.0       3.0786       0        68.38      265.16      0.0    
   1000      3690.9      0.0        0.0        0.0        0.0       1.4681       0        49.32      189.14      0.0    
   1500     5504.41      0.0        0.0        0.0        0.0       0.9442       0        44.52      176.98      0.0    
   2000     7306.57      0.0        0.0        0.0        0.0       0.6558       0        44.09      171.94      0.0    
   2500     9069.01      0.0        0.0        0.0        0.0       0.7451       0        42.54      167.54      0.0    
   3000     10827.31     0.0        0.0        0.0        0.0       0.6192       0        43.12      166.62      0.0    
   3500     12615.6      0.0        0.0        0.0        0.0       0.4967       0        42.29      166.13      0.0    
   4000     14423.28     0.0        0.0        0.0        0.0       0.401        0        42.59      166.33      0.0    
   4500     16219.51     0.0        0.0        0.0        0.0       0.3266       0        42.24      166.74      0.0    
   5000     18034.94     0.0        0.0        0.0        0.0       0.2841       0        42.54      165.28      0.0    
   5500     19833.89     0.0        0.0        0.0        0.0       0.3706       0        41.88      165.73      0.0    
   6000     21653.65     0.0        0.0        0.0        0.0       0.2949       0        41.96      163.39      0.0    
   6500     23464.35     0.0        0.0        0.0        0.0       0.2545       0        41.75      164.13      0.0    
   7000     25281.75     0.0        0.0        0.0        0.0       0.2263       0        41.92      163.77      0.0    
   7500     27103.57     0.0        0.0        0.0        0.0       0.2277       0         41.9      163.79      0.0    
   8000     28917.78     0.0        0.0        0.0        0.0       0.2651       0        41.72      163.56      0.0    
