Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  4.794323444366455
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0          0.0          0.0     
Factorizing with max_iteration = 8000  fixing covariance?:  True
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       20.93      1.3719     0.4705     1.3614     0.4634     3.1623       0       2434.17     9013.3      0.0    
   100       66.18      0.8672     0.188      0.8462     0.179      3.1623       0       2397.92    9146.84     0.0003  
   200       131.98     0.3347     0.028      0.3162     0.025      3.1623       0        293.19     1178.7     0.0001  
   500       279.62      0.0        0.0        0.0        0.0       3.1104       0        54.19      216.8       0.0    
   1000      509.14      0.0        0.0        0.0        0.0       1.4243       0        16.64      64.32       0.0    
   1500      738.86      0.0        0.0        0.0        0.0       0.8898       0        10.75      42.23       0.0    
   2000      968.63      0.0        0.0        0.0        0.0       0.6941       0        10.71      41.99       0.0    
   2500     1198.35      0.0        0.0        0.0        0.0       0.5821       0         8.92      34.96       0.0    
   3000     1428.16      0.0        0.0        0.0        0.0       0.4679       0         9.92      38.14       0.0    
   3500      1657.9      0.0        0.0        0.0        0.0       0.5105       0         8.75      34.12       0.0    
   4000     1887.73      0.0        0.0        0.0        0.0       0.4592       0         9.78      38.58       0.0    
   4500     2117.61      0.0        0.0        0.0        0.0       0.4424       0         8.97      35.18       0.0    
   5000     2347.29      0.0        0.0        0.0        0.0       0.4676       0         10.5      40.19       0.0    
   5500     2576.72      0.0        0.0        0.0        0.0       0.6056       0         9.41       36.4       0.0    
   6000     2806.16      0.0        0.0        0.0        0.0       0.6427       0        10.68      40.79       0.0    
   6500     3035.78      0.0        0.0        0.0        0.0       0.5541       0         9.77       37.8       0.0    
   7000     3265.16      0.0        0.0        0.0        0.0       0.5618       0        10.95      42.71       0.0    
   7500     3494.47      0.0        0.0        0.0        0.0       0.5039       0         9.94      39.08       0.0    
   8000      3723.8      0.0        0.0        0.0        0.0       0.4554       0        11.16      42.87       0.0    
