Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.810539722442627
max_count =  35  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
2.8909242635 2.8446634448 1.9167732136 1.8790161198   6128.71      23995.53  
Factorizing with max_iteration = 8000  fixing covariance?:  True
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       22.87      7.7335     4.9653     7.5095     4.8305     0.3162       0       9896.33    38718.03    0.0002  
   100       79.31      7.7096     4.9602     7.4884     4.8252     0.3162       0       9781.97    38556.74    0.0001  
   200       157.92     7.6251     4.9319     7.4031     4.7926     0.3137       0       9550.25    37399.15    0.0001  
   500       325.69     7.0661     4.5884     6.8393     4.4258     0.236        0       8006.72    31229.75     0.0    
   1000      582.42     5.9231     3.7706     5.686      3.5849     0.1335       0       5908.15    22758.56     0.0    
   1500      838.44     5.1537     3.2745     4.9228     3.102      0.083        0       5018.04    19236.29     0.0    
   2000     1093.94     4.6735     2.9992     4.4282     2.8121     0.062        0       4610.26    17615.05     0.0    
   2500     1348.94     4.3392     2.8019      4.1       2.6301     0.0498       0       4378.16    16713.66     0.0    
   3000     1604.03     4.1003     2.6667     3.8646     2.5025     0.0418       0       4222.45    16150.65     0.0    
   3500     1859.67     3.9402     2.5775     3.6929     2.4102     0.036        0       4140.39    15812.77     0.0    
   4000     2114.88     3.8163     2.4998     3.5699     2.3433     0.0318       0       4074.46    15573.88     0.0    
   4500      2369.8     3.7068     2.4443     3.4746     2.2934     0.0284       0       4028.38    15407.31     0.0    
   5000     2624.82     3.6361     2.4095     3.395      2.253      0.0257       0       3995.04    15292.68     0.0    
   5500      2879.3     3.5677     2.3704     3.3362     2.2219     0.0236       0       3967.41    15202.85     0.0    
   6000     3134.25     3.5156     2.3445     3.2947     2.2035     0.0217       0       3948.93    15126.67     0.0    
   6500      3388.9     3.4928     2.3263     3.2552     2.1835     0.0201       0       3934.62    15067.75     0.0    
   7000     3643.58     3.4484     2.3136     3.2289     2.1742     0.0188       0       3918.77    15032.02     0.0    
   7500      3898.0     3.4261     2.2975     3.2014     2.1611     0.0175       0       3909.26    14973.34     0.0    
   8000     4154.27     3.3987     2.2844     3.1729     2.1465     0.0165       0       3902.09    14956.74     0.0    
