Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  4.789405584335327
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0          0.0          0.0     
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.01  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       185.36     1.2884     0.415      1.2841     0.4122     3.1623    602.2864   1320.24     5261.2     0.0001  
   100       390.98     0.6181     0.0955     0.6079     0.0924     3.1623    604.4377    937.15     3743.5      0.0    
   200       782.16     0.1673     0.007      0.1936     0.0094     3.1608   68365.1747   231.71     860.93      0.0    
   500      1899.57      0.0        0.0        0.0        0.0       1.9591   8097.4493    15.93      58.08       0.0    
   1000     3732.26      0.0        0.0        0.0        0.0       0.2597    22.5237      0.32       1.39       0.0    
   1500     5512.43      0.0        0.0        0.0        0.0       0.2814     2.0677      0.6        2.01       0.0    
   2000     7318.44      0.0        0.0        0.0        0.0       0.2846     0.8245      6.07      21.15       0.0    
   2500     9114.08      0.0        0.0        0.0        0.0       0.2661     0.5219     21.12      79.26       0.0    
   3000     10898.06     0.0        0.0        0.0        0.0       0.2217     0.3284     26.68      100.5       0.0    
   3500     12709.59     0.0        0.0        0.0        0.0       0.1752     0.2268     28.59      110.07      0.0    
   4000     14535.48     0.0        0.0        0.0        0.0       0.1401     0.151      30.58      119.25      0.0    
   4500     16365.79     0.0        0.0        0.0        0.0       0.1301     0.1138     32.94      128.22      0.0    
   5000     18194.93     0.0        0.0        0.0        0.0       0.1065     0.0966     34.81      136.53      0.0    
   5500     20026.12     0.0        0.0        0.0        0.0       0.0791     0.0837     36.57      142.4       0.0    
