Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  3.7134926319122314
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0          0.0          0.0     
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       19.58      1.2075     0.3645     1.2272     0.3765     3.1623     1.3621    1092.67    4323.72      0.0    
   100       61.77      0.1342     0.0045     0.1072     0.0029     3.1623     1.3621     105.71     421.09      0.0    
   200       123.71      0.0        0.0        0.0        0.0       3.162      0.5546      0.12       0.32       0.0    
   500       262.22      0.0        0.0        0.0        0.0       2.1173     0.2692      0.0        0.0        0.0    
   1000      478.72      0.0        0.0        0.0        0.0       2.2324     0.2176      0.0        0.0        0.0    
   1500      695.88      0.0        0.0        0.0        0.0       1.9327     0.1671      0.0        0.0        0.0    
   2000      907.78      0.0        0.0        0.0        0.0       1.706      0.1299      0.0        0.0        0.0    
   2500      1117.7      0.0        0.0        0.0        0.0       1.5123     0.138       0.0        0.0        0.0    
   3000      1326.6      0.0        0.0        0.0        0.0       1.3874     0.1378      0.0        0.0        0.0    
   3500     1534.79      0.0        0.0        0.0        0.0        1.28      0.2223      0.0        0.0        0.0    
   4000     1742.71      0.0        0.0        0.0        0.0       1.1952     0.2024      0.0        0.0        0.0    
   4500     1950.57      0.0        0.0        0.0        0.0       1.106       0.37       0.0        0.0        0.0    
   5000     2158.21      0.0        0.0        0.0        0.0       1.0454     0.1933      0.0        0.0        0.0    
   5500     2365.45      0.0        0.0        0.0        0.0       1.0064     0.2273      0.0        0.0        0.0    
   6000     2572.79      0.0        0.0        0.0        0.0       0.9572     0.199       0.0        0.0        0.0    
   6500      2780.3      0.0        0.0        0.0        0.0       0.9344     0.2344      0.0        0.0        0.0    
   7000     2987.62      0.0        0.0        0.0        0.0       0.8853     0.2195      0.0        0.0        0.0    
   7500     3194.55      0.0        0.0        0.0        0.0       0.8669     0.295       0.0        0.0        0.0    
   8000     3401.63      0.0        0.0        0.0        0.0       0.8286     0.2712      0.0        0.0        0.0    
