Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.112640857696533
max_count =  35  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
2.8909242635 2.8446634448 1.9167732136 1.8790161198   6128.71      23995.53  
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.01  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       508.57     7.214      4.9598     7.0057     4.8031     0.3162     0.4369    5919.41    23363.14     0.0    
   100      1038.69     7.2156     4.9393     7.0201     4.816      0.3162     0.4369    5986.94    23621.56     0.0    
   200       2048.0     7.2274     4.9555     7.0168     4.8079     0.3052     0.4145    6034.24    23822.4      0.0    
   500      5020.05     6.9051     4.6984     6.684      4.5185     0.2724     0.4128    5592.93    22048.49     0.0    
   1000     9956.37     5.8542     3.9177     5.6409     3.7397     0.1819     0.392     4611.44    18173.32     0.0    
   1500     14922.9     5.0019     3.3371     4.7953     3.1946     0.1239     0.4346     4183.6    16440.34     0.0    
   2000     19870.26    4.4859     3.0282     4.2778     2.8754     0.1207     0.5406    4007.44    15684.7      0.0    
   2500     24831.4     4.1833     2.8306     3.9624     2.6982     0.1105     0.7064    3896.69    15330.24     0.0    
   3000     29833.45    3.9989     2.7251     3.7594     2.5733     0.1228     1.1968     3852.3    15143.63     0.0    
   3500     34839.77    3.9019     2.6822     3.6424     2.5179     0.0841     1.9114    3815.39    15006.58     0.0    
   4000     39766.75    3.7424     2.5921     3.5401     2.4694     0.1093     5.2437     3790.6    14923.36     0.0    
   4500     44716.21    3.7408     2.6045     3.5127     2.4814     0.1333     31.395     3780.7    14890.71     0.0    
   5000     49671.05     3.73      2.6162     3.5317     2.5203     0.1655   1228.3226   3764.36    14854.85     0.0    
   5500     54631.73    4.0572     2.7801     4.0241     2.6718     0.1578   4230.2536   3758.15    14864.98     0.0    
