Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.285513401031494
max_count =  35  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
2.8909242635 2.8446634448 1.9167732136 1.8790161198   6128.71      23995.53  
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50        23.5      7.2092     4.9366     6.9978     4.7951     0.3162     0.2863    5929.97    23360.56    0.0001  
   100       80.69      7.2286     4.9423     7.003      4.7856     0.3162     0.2879    5985.81    23637.21    0.0001  
   200       160.89     7.2002     4.9025     6.9854     4.7539     0.3105     0.2123    6003.38    23685.09     0.0    
   500       332.47     6.7855     4.5324     6.5684     4.3697     0.2721     0.1227    5498.44    21442.48     0.0    
   1000      594.42     5.6036     3.7484     5.3923     3.5916     0.1975     0.0709    4504.65    17574.38     0.0    
   1500      856.42     5.2174     3.6605     5.0613     3.5497     0.1492     0.0476    4357.17    17074.01     0.0    
   2000     1118.61     6.0442     4.2502     5.9458     4.2303     0.1199     0.0341     4778.0    18710.99     0.0    
   2500     1381.06     7.3362     5.2898     7.296      5.2736     0.0981     0.0276    5452.85    21222.73     0.0    
   3000     1643.95     8.6225     6.3317     8.5892     6.3245     0.0833     0.0233    6182.76    23929.11     0.0    
   3500     1906.48     9.7626      7.27      9.7104     7.2532     0.0721      0.02      6788.7    26376.59     0.0    
   4000     2168.82    10.6932     8.0479    10.6471     8.0193     0.0709     0.0178    7276.46    28490.69     0.0    
   4500     2431.18    11.4315     8.6514    11.4147     8.6452     0.0617     0.0158    7778.15    30305.28     0.0    
   5000     2693.11    12.0425     9.1413    11.9944     9.1115     0.053      0.0141    8125.55    31714.88     0.0    
   5500     2954.92    12.4617     9.4692    12.4464     9.4718     0.0504     0.0128    8415.76    32825.39     0.0    
   6000     3216.56    12.8438     9.7753    12.7958     9.7351     0.0484     0.0117    8608.18    33749.44     0.0    
   6500     3478.22    13.0853     9.9525    13.0571     9.9287     0.0635     0.0106    8781.79    34283.03     0.0    
   7000     3739.61    13.2929    10.0989    13.2141    10.0332     0.0573     0.0098    8872.73    34621.06     0.0    
   7500     4001.42    13.3538    10.1349    13.3028    10.0919     0.0384     0.0091     8889.9    34992.85     0.0    
   8000     4262.69    13.4101     10.174    13.3581    10.1285     0.0419     0.0085    8919.34    34997.74     0.0    
