Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.33147668838501
max_count =  28  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2396678422 0.237356628  0.1735810271 0.1710915842   12246.55     48564.21  
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.1  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       25.42      6.5531     4.5434     6.4628     4.4716     0.3162     0.2861    5705.94    22586.94    0.0001  
   100       87.05      6.5886     4.556      6.4784     4.4811     0.3162     0.288     5779.02    22848.1      0.0    
   200       173.13     6.5598     4.4975     6.4455     4.4185     0.3102     0.2124    5748.59    22749.46     0.0    
   500       356.22     6.1112     4.0007     5.9997     3.9175     0.2736     0.1227    5155.84    20317.7      0.0    
   1000      636.37     4.7467     2.9505     4.6419     2.8813     0.1996     0.071     3995.34    15817.27     0.0    
   1500      916.74     4.1074     2.6759     4.0191     2.6118     0.1508     0.0477    3681.11    14606.36     0.0    
   2000     1197.41     4.8274     3.2445     4.7887     3.1799     0.1199     0.0342    3881.61    15425.72     0.0    
   2500     1478.53     6.1933     4.2666     6.1417     4.2216     0.0987     0.0276    4302.83    17133.98     0.0    
   3000     1759.92     7.549      5.3712     7.5057     5.3077     0.0838     0.0231    4800.15    19110.62     0.0    
   3500     2040.89     8.8071     6.3524     8.6986     6.2401     0.0731      0.02     5292.37    21113.4      0.0    
   4000     2321.63     9.8076     7.1128     9.7318     7.0123     0.0643     0.0175    5728.76    22944.86     0.0    
   4500     2602.05    10.6631     7.7524     10.582     7.6478     0.0577     0.0157    6156.16    24564.57     0.0    
   5000     2882.47    11.3429     8.2614     11.275     8.1668     0.0524     0.0141    6533.78    25985.24     0.0    
   5500     3162.67    11.9134     8.686     11.8472     8.586      0.0476     0.0127    6841.42    27181.88     0.0    
   6000      3442.9    12.3812     9.0198     12.259     8.8783     0.0438     0.0116    7067.87    28146.91     0.0    
   6500     3722.76    12.6928     9.2383    12.6124     9.1256     0.0404     0.0106    7237.18    28916.8      0.0    
   7000     4002.91    12.9645     9.4282    12.8736     9.3022     0.038      0.0098    7384.54    29415.92     0.0    
   7500     4282.66    13.1476     9.555     13.0388     9.4143     0.0351     0.009      7461.6    29789.17     0.0    
   8000     4561.38    13.2678     9.6276    13.1541     9.4889     0.0328     0.0084    7556.42    30137.27     0.0    
   8500     4841.54    13.3282     9.6591    13.2397     9.5389     0.0331     0.0078    7609.64    30264.95     0.0    
   9000     5121.11    13.3378     9.6595    13.2386     9.5263     0.0294     0.0073    7647.48    30404.2      0.0    
   9500     5400.74    13.3319     9.6405    13.2549     9.5261     0.0327     0.0069    7623.83    30288.91     0.0    
  10000     5680.39    13.3052     9.6154    13.1857     9.463      0.0309     0.0065    7617.18    30287.81     0.0    
  10500     5959.01     13.203     9.5374    13.0974     9.3905     0.025      0.0062    7576.44    30035.58     0.0    
  11000     6238.52    13.1751     9.5067    13.0303     9.3347     0.0323     0.0058    7530.15    29898.42     0.0    
  11500     6518.13    13.0287     9.3902    12.9424     9.265      0.0245     0.0055     7450.4    29671.72     0.0    
  12000     6796.35     12.913     9.2919    12.8185     9.1666     0.0221     0.0052    7413.16    29406.15     0.0    
  12500     7075.33    12.7834     9.2032    12.6773     9.0594     0.0234     0.005     7321.26    29149.7      0.0    
  13000     7354.36    12.6653     9.1041    12.5488     8.9623     0.027      0.0048    7241.46    28829.79     0.0    
  13500     7633.74     12.51      8.9942    12.3819     8.8381     0.0199     0.0045    7156.26    28483.2      0.0    
