Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  3.8552749156951904
max_count =  28  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.450406572  0.4313080657 0.2961395321 0.2831138653   11489.19     45282.56  
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.1  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       23.08      6.609      4.5597     6.4559     4.4674     0.3162     0.2862    5728.15    22546.22    0.0001  
   100       79.43      6.5999     4.5472     6.4743     4.4658     0.3162     0.288     5732.29    22757.03     0.0    
   200       158.37     6.5632     4.4894     6.4441     4.4169     0.3123     0.2124    5767.08    22711.82     0.0    
   500       327.23     6.1011     3.9825     5.9518     3.8795     0.2694     0.1227    5108.36    20223.55     0.0    
   1000      585.83     4.7541     2.9415     4.6056     2.8501     0.1969     0.0711    4000.89    15772.55     0.0    
   1500      844.53     4.1084     2.6866     3.9929     2.5937     0.1493     0.0476    3698.26    14623.26     0.0    
   2000     1103.39     4.8639     3.259      4.7988     3.1875     0.1188     0.034     3915.81    15530.36     0.0    
   2500     1363.32     6.2326     4.2952     6.1675     4.2417     0.0978     0.0274    4352.19    17255.48     0.0    
   3000     1622.88     7.5837     5.3847     7.5544     5.3525     0.0836     0.0231    4835.68    19313.92     0.0    
   3500     1882.09     8.7999     6.3457     8.746      6.2832     0.0729      0.02      5322.3    21308.74     0.0    
   4000     2142.77     9.7962     7.0999     9.779      7.0568     0.064      0.0175    5795.07    23097.5      0.0    
   4500     2404.61    10.6812     7.7637    10.6385     7.6982     0.0572     0.0156    6220.16    24778.4      0.0    
   5000     2663.41    11.3576     8.2654    11.3039     8.1904     0.052      0.0141    6541.21    26252.56     0.0    
   5500     2921.45    11.8924     8.6708     11.861     8.6001     0.0473     0.0127    6840.95    27413.93     0.0    
   6000     3183.12    12.3727     9.023     12.2995     8.9095     0.0434     0.0115    7095.51    28319.67     0.0    
   6500     3441.34    12.7304     9.2719     12.637     9.1432     0.0403     0.0106    7244.81    29060.12     0.0    
   7000     3699.13    12.9387     9.4151    12.8804     9.3151     0.0377     0.0098    7415.09    29604.31     0.0    
   7500     3956.61    13.1251     9.5325    13.0302     9.4123     0.0352     0.0091    7489.96    30018.24     0.0    
   8000     4214.35    13.2395     9.6167    13.1641     9.4984     0.0326     0.0084    7598.24    30290.38     0.0    
   8500      4473.6    13.3046     9.647     13.2323     9.5346     0.0436     0.0078    7665.74    30367.92     0.0    
   9000     4730.98    13.3262     9.6502    13.2229     9.516      0.0293     0.0074    7626.83    30455.41     0.0    
   9500     4988.04    13.2922     9.6114    13.2338     9.5105     0.0279     0.0069    7617.54    30470.55     0.0    
  10000     5244.99    13.2634     9.5863    13.1962     9.4765     0.0264     0.0065    7610.78    30355.97     0.0    
  10500     5502.14    13.1687     9.5164    13.1116     9.4022     0.025      0.0062    7569.39    30129.37     0.0    
  11000     5758.98    13.1135     9.4648    13.0311     9.339      0.0275     0.0058    7496.48    30013.78     0.0    
  11500     6015.14    12.9889     9.365     12.9243     9.2534     0.0235     0.0055    7448.82    29781.79     0.0    
  12000     6270.77     12.855     9.2627    12.7853     9.1493     0.0306     0.0052    7388.46    29505.3      0.0    
  12500     6526.36    12.7341     9.1749    12.6658     9.053      0.0234     0.005     7304.25    29193.29     0.0    
  13000     6781.88    12.5808     9.0476    12.5215     8.9444     0.0324     0.0048    7231.82    28883.44     0.0    
  13500     7037.38    12.4632     8.968     12.3667     8.8271     0.022      0.0045    7174.89    28533.23     0.0    
  14000     7292.85    12.2707     8.8138    12.2042     8.7041     0.0276     0.0045    7079.42    28222.94     0.0    
  14500      7548.3    12.1535     8.7297    12.0748     8.6125     0.0395     0.0046    7005.86    27902.76     0.0    
  15000     7803.74    11.9636     8.5905    11.8957     8.4772     0.0189     0.0048    6903.09    27604.38     0.0    
  15500     8051.14    11.7971     8.4724    11.7526     8.3717     0.0532     0.0049    6859.23    27236.5      0.0    
  16000     8298.03    11.6469     8.3573    11.5876     8.2473     0.0185     0.0049    6748.19    26930.77     0.0    
