Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.727501630783081
max_count =  28  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.7962726811 0.7692716269 0.508683978  0.4957517579   10177.09     39807.72  
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.01  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       526.59     6.6281     4.598      6.4902     4.5045     0.3162     0.4418    5708.41    22560.21     0.0    
   100      1069.48     6.6241     4.6053     6.5053     4.516      0.3162     0.4418    5745.72    22768.57     0.0    
   200      2121.85     6.6289     4.5965     6.4985     4.5108     0.3066     0.422     5758.36    22830.02     0.0    
   500      5198.22     6.238      4.2229     6.104      4.1285     0.2705     0.4114    5251.26    20645.47     0.0    
   1000     10283.34    5.0855     3.2822      4.91      3.1493     0.1764     0.5239    4236.76    16742.06     0.0    
   1500     15335.92    4.0751     2.5589     3.9475     2.476      0.1327     0.8455     3773.8    14937.79     0.0    
   2000     20439.16    3.4316     2.1672     3.3116     2.0836     0.1273     1.8006    3569.21    14175.24     0.0    
   2500     25491.19    3.0383     1.9421     2.9235     1.8771     0.177      6.0504    3477.27    13792.31     0.0    
   3000     30542.86    2.887      1.8948     2.7674     1.7886     0.175      143.18    3418.07    13587.6      0.0    
   3500     35646.48    2.6267     1.7527     2.4797     1.6405     0.131      3.6976    3394.87    13475.57     0.0    
   4000     40744.59    2.4963     1.7283     2.3836     1.6291     0.1359    13.0883    3366.57    13406.7      0.0    
   4500     45834.06    2.7202     1.8714     2.5661     1.7468     0.1597    462.3705   3360.06    13391.27     0.0    
   5000     51003.95    3.9599     2.2298     4.1707     2.1751     0.1509   8498.7738   3369.25    13423.59     0.0    
   5500     56172.41     inf        inf        inf        inf       0.1365   61184.4895  3387.49      nan        0.0    
   6000     61334.07     inf        inf        inf        inf       0.1675   29281.8663   3449.2    13798.65     0.0    
   6500     66494.77    4.9926     2.5326     5.3256     2.6984     0.1621   38856.4339  3297.86    13221.34     0.0    
