Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  4.8652184009552
max_count =  28  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.7962726811 0.7692716269 0.508683978  0.4957517579   10177.09     39807.72  
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [100, 100]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.1  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50       23.71      6.6303     4.5804     6.4821     4.4824     0.3162     0.2862    5726.07    22599.38    0.0001  
   100       81.63      6.6529     4.5934     6.4997     4.4855     0.3162     0.288     5754.39    22791.22     0.0    
   200       163.27     6.594      4.5234     6.4667     4.4302     0.3108     0.2124     5747.2    22775.2      0.0    
   500       336.6      6.1489     4.0178     5.9924     3.9131     0.2708     0.1226    5144.07    20299.85     0.0    
   1000      601.62     4.7887     2.9793     4.6252     2.8683     0.1964     0.071     4005.47    15870.88     0.0    
   1500      865.17     4.1032     2.6917     4.032      2.6224     0.1493     0.0477     3701.4    14687.66     0.0    
   2000      1124.6     4.919      3.2875     4.8433     3.2208     0.1192     0.0339    3912.11    15622.87     0.0    
   2500     1378.81     6.2657     4.3111     6.2287     4.2785     0.098      0.0275    4348.36    17386.39     0.0    
   3000     1634.18     7.5945     5.391      7.5895     5.3727     0.0837     0.0232    4860.17    19418.53     0.0    
   3500     1889.41     8.8276     6.3615     8.7666     6.3006     0.0728      0.02     5337.17    21394.2      0.0    
   4000     2142.99     9.869      7.1638     9.7908     7.0738     0.064      0.0176    5815.34    23316.04     0.0    
   4500     2396.39    10.6606     7.7611    10.6583     7.7217     0.057      0.0155    6195.92    24925.52     0.0    
   5000     2649.78     11.37      8.2839    11.3182      8.22      0.0522     0.014     6553.57    26369.67     0.0    
   5500     2903.03    11.9306     8.7066    11.8663     8.6208     0.0474     0.0127    6885.88    27493.26     0.0    
   6000     3157.52    12.3611     9.019      12.317     8.9404     0.0619     0.0116    7087.66    28406.21     0.0    
   6500     3411.14    12.7215     9.2795    12.6316     9.1622     0.042      0.0106    7237.33    29159.56     0.0    
   7000     3664.52    12.9292     9.4188    12.8847     9.3358     0.0379     0.0098    7405.21    29597.97     0.0    
   7500     3917.53     13.132     9.5606    13.0334     9.4337     0.0411     0.0091    7492.43    30050.67     0.0    
   8000     4171.32    13.2281     9.6177    13.1504     9.509      0.0378     0.0084    7578.87    30387.72     0.0    
   8500     4425.81    13.2972     9.6523    13.2309     9.5533     0.0633     0.0078    7668.53    30523.89     0.0    
   9000     4679.94    13.3126     9.6563    13.2289     9.5408     0.0292     0.0074    7665.49    30532.38     0.0    
   9500     4932.07    13.2638     9.6092    13.2328     9.5321     0.0367     0.0069    7592.89    30497.77     0.0    
  10000     5184.04    13.2619     9.5998    13.1718     9.4797     0.0362     0.0065    7556.12    30469.85     0.0    
  10500     5436.03    13.1635     9.5231    13.1026     9.419      0.0369     0.0062    7581.75    30231.5      0.0    
  11000     5687.97    13.1089     9.4676    13.0194     9.3486     0.0375     0.0058    7500.93    30050.89     0.0    
  11500     5939.86    12.9694     9.355     12.9061     9.2584     0.024      0.0055    7477.89    29802.55     0.0    
  12000     6193.45    12.8282     9.2556    12.7793     9.1597     0.0271     0.0052    7387.19    29516.03     0.0    
  12500     6446.04    12.6884     9.1408     12.636     9.0487     0.0274     0.005     7293.43    29279.75     0.0    
  13000     6698.55    12.5758     9.0557    12.4825     8.9386     0.0347     0.0048    7254.07    28938.35     0.0    
  13500     6950.83     12.442     8.9562    12.3557     8.8365     0.0348     0.0046    7153.74    28622.43     0.0    
  14000     7202.94     12.231     8.7987    12.1986     8.7151     0.0388     0.0045    7066.43    28297.12     0.0    
  14500     7454.63    12.1423     8.7266    12.0386     8.6025     0.0472     0.0047    6990.46    27972.96     0.0    
  15000     7706.65    11.9312     8.5716    11.8727     8.4768     0.0315     0.0048    6900.07    27618.57     0.0    
  15500     7958.37     11.791     8.4742    11.7226     8.3667     0.0474     0.0048    6803.57    27279.08     0.0    
  16000     8210.09    11.6146      8.34     11.5544     8.2389     0.029      0.0049    6720.01    26958.83     0.0    
