Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  12.399566173553467
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2782838871 0.2770896722 0.1876901461 0.1867527086  163504.21    651758.22  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50      1076.72     10.094     6.637     10.0836     6.6118     0.3162     4.472    143774.76   28644.97     0.0    
   100      2353.96    10.0894     6.636     10.0785     6.6118     0.3094     1.2724   143520.03   28612.84     0.0    
   200      4689.24    10.0329     6.6164    10.0225     6.5913     0.2945     0.8834   141647.82   28174.5      0.0    
   500      11182.45    8.9117     5.7082     8.8983     5.6704     0.2328     0.3814   111287.65   22082.08     0.0    
   1000     21832.86    6.2341     3.6241     6.227      3.5858     0.0976     0.7297    66910.25   13289.17     0.0    
   1500     32493.44    4.7427     2.7319     4.7349     2.7004     0.1883     0.372     52573.86   10424.83     0.0    
   2000     43134.7     3.9104     2.3092     3.892      2.2823     0.1405     0.0597    47040.34   9312.79      0.0    
   2500     53777.96    3.4135     2.0741     3.3756     2.0366     0.0767     0.1909    44510.95   8796.75      0.0    
   3000     64422.99    3.1013     1.9257     3.0501     1.8823     0.0854     0.0171    43191.66   8521.84      0.0    
   3500     75048.23    2.9021     1.8271     2.8372     1.7751     0.0634     0.076     42444.72   8366.16      0.0    
   4000     85668.56    2.7686     1.7607     2.6922     1.7027     0.0578     0.0593    41971.58   8259.24      0.0    
   4500     96282.87    2.6767     1.7133     2.5913     1.6553     0.0365     0.3793    41669.84   8191.48      0.0    
   5000    106895.67    2.6109     1.6784     2.5195     1.6167     0.0763     0.6951    41433.24   8137.35      0.0    
   5500    117563.53    2.5644     1.6527     2.4656     1.587      0.0352     0.0935    41259.37   8088.91      0.0    
   6000    128222.72    2.5288     1.6336     2.4239     1.563      0.0435     0.0065    41092.15   8045.35      0.0    
