Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  11.812164068222046
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2321933449 0.2317206109 0.1642014186 0.1635717557   164585.4    656063.03  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  0.01
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    50      1028.18    10.0933     6.6364    10.0831     6.6118     0.3162     4.4721   143627.27   28627.22     0.0    
   100      2251.79    10.0889     6.6351     10.079     6.6106     0.3078     1.1791   143574.14   28605.25     0.0    
   200      4476.69    10.0327     6.6148    10.0223     6.5896     0.294      0.693    141597.91   28234.77     0.0    
   500      10636.95    8.9106     5.704      8.9033     5.6719     0.2333     0.9207   111175.57   22113.15     0.0    
   1000     20694.69    6.221      3.6083     6.2205     3.5741     0.1013     0.8741    66677.56   13255.98     0.0    
   1500     30799.6     4.7364     2.7132     4.736      2.6888     0.1293     0.7495    52420.63   10402.62     0.0    
   2000     40953.94    3.913      2.298      3.8982     2.2752     0.1518     0.7199    46971.86   9308.31      0.0    
   2500     51060.03    3.4229     2.0672     3.3886     2.0367     0.0619     0.0285    44478.86   8791.63      0.0    
   3000     61267.32    3.1151     1.9217     3.0652     1.8813     0.0663     0.0363    43170.77   8519.15      0.0    
   3500     71474.98    2.9156     1.8289     2.8495     1.7774     0.1291     0.277     42461.88   8369.55      0.0    
   4000     81678.17    2.7799     1.7604     2.7122     1.7104     0.067      0.0171    41970.51   8257.53      0.0    
   4500     91771.81    2.6865     1.7119     2.6067     1.6567     0.0491     0.0902    41659.07    8192.9      0.0    
   5000    101830.69     2.62      1.6768     2.5348     1.6208     0.0332     0.0077    41430.59   8137.22      0.0    
   5500    111910.29    2.5718     1.6531     2.4782     1.5907     0.0878     0.0043    41268.26   8097.46      0.0    
   6000    121960.38    2.5345     1.6327     2.435      1.5672     0.0442     0.0042    41111.66   8050.62      0.0    
