Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  10.343354225158691
max_count =  39.0  min count =  0.0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0        164585.4    656063.03  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  True
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
Random start? True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    0         19.0      9.7238     6.7081     9.7048     6.6774     0.3162       0      128520.37   25351.33    0.0004  
    10       321.76     9.7211     6.6954     9.6823      6.65      0.3162       0      128579.17   25277.46     0.0    
    20       625.83     9.7239     6.6918     9.6877     6.6454     0.3162       0      128647.68   25213.46     0.0    
    50      1303.89     9.7351     6.676      9.6454     6.5948     0.3162       0      128674.67   24860.95     0.0    
   100       2355.5     9.7376     6.6527      9.6       6.5282     0.2554       0       128841.7   24605.57     0.0    
   200      4338.75     9.7393     6.6234     9.4943      6.43      0.1907       0      129004.18   24178.58     0.0    
   500      9975.63     9.6833     6.5372     9.2344     6.2076     0.1291       0      127429.39   22809.89     0.0    
   1000     19260.6     9.4173      6.31      8.5843     5.743      0.1013       0       119701.9   20035.41     0.0    
   1500     28544.45    8.9075     5.8504     7.6724     5.0476     0.0853       0      105758.34   16640.7      0.0    
   2000     37833.18    8.1998      5.21      6.6065     4.237      0.0712       0       89813.08   13657.48     0.0    
   2500     47113.21    7.4947     4.611      5.6331     3.5142     0.0564       0       77345.3    11556.57     0.0    
   3000     56394.54    6.9115     4.1461     4.874      2.9776     0.0474       0       68670.57   10361.39     0.0    
   3500     65721.87    6.4477     3.7956     4.319      2.6112     0.0377       0       63256.16   9670.67      0.0    
   4000     75057.45    6.0857     3.5507     3.9335     2.374      0.0349       0       59497.7    9222.58      0.0    
   4500     84677.69    5.8043     3.3616     3.6087     2.184      0.0325       0       57024.41   8946.29      0.0    
   5000     93991.94    5.5642     3.2152     3.3782     2.0592     0.0334       0       55165.03   8744.33      0.0    
   5500    103547.38    5.3665     3.0893     3.1954      1.94      0.031        0       53688.34   8607.03      0.0    
