Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  8.776463985443115
max_count =  39.0  min count =  0.0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
    0.0          0.0          0.0          0.0        164585.4    656063.03  
Using  0.05 of training data
Factorizing with max_iteration = 10000  fixing covariance?:  True
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
Random start? True
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
    0         1.7       9.7311     6.7065     9.7205     6.6864     0.3162       0      132315.23   26099.79    0.0297  
    10       139.36     9.7374     6.7031     9.6919     6.6514     0.3162       0      132155.03   25910.97    0.0007  
    20       277.27     9.7388     6.6994     9.6981     6.6518     0.3162       0       132452.4   25860.64    0.0004  
    50       445.05     9.7335     6.6761     9.638      6.579      0.3162       0      132356.08   25550.58    0.0003  
   100       648.16     9.7376     6.6545     9.5612      6.5       0.2602       0      132836.85   25115.93    0.0001  
   200       930.72     9.7274     6.6187     9.4365     6.373      0.2048       0      132954.42   24433.07     0.0    
   500      1529.42     9.605      6.4937     8.9936     6.0284     0.1382       0      129497.46   22183.75     0.0    
   1000     2441.26     9.086      6.0683     7.8969     5.2222     0.1222       0      113990.81   17622.4      0.0    
   1500     3361.92     8.2397     5.3348     6.4643     4.1474     0.1104       0       92580.47   13424.66     0.0    
   2000     4274.95     7.4107     4.6585     5.4246     3.4014     0.0891       0       76063.49   11155.27     0.0    
   2500     5203.14     6.9094     4.2838     5.1354     3.2092     0.068        0       67188.17   10432.18     0.0    
   3000     6106.17     6.6998     4.1592     5.2672     3.2812     0.0553       0       63288.05   10337.69     0.0    
   3500     7024.69     6.6066     4.1151     5.4928     3.4474     0.0428       0       61339.31   10352.53     0.0    
   4000     7942.12     6.541      4.0892     5.6258     3.5586     0.0361       0       60335.87   10429.27     0.0    
   4500     8873.62     6.465      4.0547     5.6798     3.6222     0.0306       0       59530.93   10424.31     0.0    
   5000     9774.84     6.3773     4.0107     5.627      3.634      0.028        0       58929.28   10359.59     0.0    
   5500     10655.91    6.2797     3.9528     5.5628     3.5992     0.025        0       58231.19   10304.84     0.0    
   6000     11536.98    6.1838     3.8968     5.474      3.553      0.0228       0       57732.24   10222.85     0.0    
   6500     12418.51    6.0785     3.8321     5.3543     3.4872     0.0262       0       57200.84   10119.4      0.0    
   7000     13299.09    5.9828     3.7716     5.2279     3.407      0.0278       0       56771.03   9996.35      0.0    
   7500     14180.05    5.8881     3.712      5.1214     3.3496     0.0198       0       56257.9    9914.45      0.0    
   8000     15061.66    5.7966     3.6506     5.0226     3.2808     0.0242       0       55860.98   9804.29      0.0    
