Generating synthetic binary valued data ... 
Generating synthetic  binary valued data took:  10.661748170852661
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.4051666324 0.421615939    0.04104      0.04444      24176.61     96184.69  
Using  0.05 of training data
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
   500      1294.03     0.7604     0.1446     0.7531     0.1418     1.6824     0.006     8495.94    1657.41     0.0022  
   1000     2766.24     0.7554     0.1426     0.7515     0.1412     0.9139     0.0032    8460.41    1648.18     0.0027  
   1500     4246.02     0.7556     0.1427     0.7579     0.1436     0.7006     0.002     8470.67    1655.31     0.0011  
   2000     5721.94     0.7575     0.1434     0.7616     0.145      0.6337     0.0017    8486.16    1657.53     0.0016  
   2500     7189.23     0.7557     0.1428     0.7626     0.1454     0.6186     0.0013    8488.62    1659.47     0.0011  
   3000     8649.92     0.7582     0.1437     0.7663     0.1468     0.6395     0.0011    8502.93    1663.72     0.0014  
   3500     10111.57    0.7605     0.1446     0.7658     0.1466     0.6493     0.0009     8494.1    1654.57     0.0007  
   4000     11565.59    0.7529     0.1417     0.7547     0.1424     0.5372     0.0008    8499.72    1661.84     0.0003  
   4500     13024.74    0.7565     0.1431     0.7616     0.145      0.5311     0.0007    8485.19    1671.35     0.001   
   5000     14445.98    0.754      0.1421     0.7424     0.1378     0.5228     0.0006    8492.49    1655.98     0.0009  
   5500     15865.99    0.7639     0.1459     0.7558     0.1428     0.4745     0.0006    8501.22    1664.84     0.0005  
   6000     17281.25    0.7585     0.1438     0.7679     0.1474     0.4977     0.0005    8508.33    1669.95     0.0004  
   6500     18693.43    0.7585     0.1438     0.7637     0.1458     0.4789     0.0005    8516.67    1670.72     0.0006  
   7000     20102.43    0.7537     0.142      0.7521     0.1414     0.4347     0.0005    8473.42    1660.37     0.0007  
   7500     21512.52    0.7569     0.1432     0.7489     0.1402     0.4051     0.0005    8500.02    1663.57     0.0005  
   8000     22923.22    0.7512     0.1411     0.7483      0.14      0.4044     0.0005    8502.11    1678.32     0.0004  
