Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  11.415411710739136
max_count =  39  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
0.2444335923 0.2439155157 0.1700273363 0.1694225528  164279.27    654976.61  
Using  0.05 of training data
Factorizing with max_iteration = 8000  fixing covariance?:  False
Tensor dimensions:  [50, 50, 50]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
k1 samples =  64  k2 samples =  64
eta =  1  cov eta =  0.001  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|  d_mean  |   d_cov  | test_nll | train_nll  |   dw   |
   500       1943.7     8.9112     5.7086     8.8965     5.6704     0.2335     0.7675   111086.56   22102.38     0.0    
   1000     4073.19     6.289      3.6595     6.2757     3.619      0.0954     0.4955    67513.89   13394.86     0.0    
   1500     6190.03     4.8247     2.7749     4.8147     2.7413     0.1351     0.1958    53120.04   10528.58     0.0    
   2000     8305.77     3.9884     2.3429     3.9716     2.3158     0.1388     0.3566    47435.62   9387.62      0.0    
   2500     10398.6     3.4794     2.0982     3.4464     2.0675     0.0936      0.16     44736.32   8849.59      0.0    
   3000     12489.55    3.1558     1.9455     3.1075     1.9069     0.0995     0.1642    43360.0    8554.44      0.0    
   3500     14583.54    2.9457     1.8436     2.8842     1.7961     0.0737     0.0832    42539.62    8386.3      0.0    
   4000     16620.49    2.8041     1.7746     2.7313     1.7205     0.0618     0.0892    42058.04   8282.39      0.0    
   4500     18623.18    2.7054     1.7235     2.6271     1.6696     0.0502     0.025     41726.46   8204.28      0.0    
   5000     20626.34    2.6349     1.6859     2.5456     1.627      0.0597     0.6528    41474.88   8148.26      0.0    
   5500     22630.33    2.5838     1.659      2.4876     1.598      0.0283     0.0041    41281.86   8101.12      0.0    
   6000     24633.09    2.5439     1.6379     2.4426     1.5721     0.0334     0.0088    41117.04   8056.36      0.0    
   6500     26635.47    2.5137     1.6207     2.4059     1.5508     0.0571     0.0068    40977.27   8010.21      0.0    
   7000     28636.82    2.4906     1.6066     2.3734     1.5313     0.0511     0.0043    40832.86   7966.69      0.0    
   7500     30638.52    2.4712     1.5951     2.3446     1.5093     0.0415     0.0082    40688.45   7922.98      0.0    
   8000     32639.37    2.4537     1.5835     2.3211     1.4926     0.0391     0.0718    40558.57   7877.59      0.0    
