Generating synthetic count valued data ... 
Generating synthetic  count valued data took:  0.5157556533813477
max_count =  17  min count =  0
Evaluation for true params: 
 test_rsme | train_rsme | rel-te-err | rel-tr-err |  test_nll  |  train_nll |
1.7320508076 1.833030278      1.08         1.08        105.87       423.0    
Factorizing with max_iteration = 16000  fixing covariance?:  False
Tensor dimensions:  [5, 5, 5]
Optimization metrics: 
Using Ada Grad
Mean update scheme:  S
Covariance update :  N
Using diagonal covariance?:  False
Random start? True
k1 samples =  64  k2 samples =  128
eta =  1.0  cov eta =  1.0  sigma eta =  1
iteration |   time   |test_rsme |rel-te-err|train_rsme|rel-tr-err|   d_mean  |   d_cov  |avg_grad_m|avg_grad_c| test_nll | train_nll |    VLB   |  E-term  |    KL     |   dw   |
    0         1.14      5.5929      3.6       4.7497      3.18      3.1623     2.0517     1.217     327.969     81.85      284.29     -382.0    -327.218    54.336     0.0323  
    5         7.1       4.8703      4.12      4.2474      3.58      3.1623     2.2446    16.0955   31563.8134   66.03      237.5      -279.0    -254.61     24.126     0.0006  
    10       13.17      3.4525      2.88      3.4684      2.51      2.8251     1.348      6.7865     9.8621     52.54      188.84     -230.0    -212.366    17.265     0.0047  
    20       24.59      3.763       2.8       2.5826      1.79      2.9589     2.1037     7.0216   11115988.3159    54.9      162.66     -202.0    -187.09     15.409      0.0    
    50       56.94      2.5612      1.76      1.9849      1.34      1.5525     0.4373     5.2595    57.3786     46.19      144.48     -180.0    -168.143    11.619      0.0    
   100       110.92     2.1726      1.52       1.8        1.14      0.459      0.1728     1.1756    1069.271    43.61      139.73     -176.0    -165.669    9.973      0.0001  
   200       216.08      2.01       1.4       1.8248      1.13      0.7086     0.0328     2.0296    20.0284     43.96      138.9      -174.0    -165.157    9.231       0.0    
   300       320.86     2.4413      1.64      1.8138      1.13      0.5239     0.2746     2.5224    99.9737     44.86      137.64     -175.0    -165.364    9.163       0.0    
   400       424.46      2.2        1.4       1.5843      0.99      0.4518     0.0284     1.547     23.1306     44.14      136.19     -172.0    -162.392    9.482       0.0    
   500       529.74     2.6533      1.84      1.7436      1.12      0.6029     0.3571     3.3066   130959.8093   44.67      137.11     -175.0    -164.182    10.568      0.0    
   600       634.54     2.2181      1.48      1.5716      0.97      0.2508     0.1364     0.9685    16.3159     43.56      135.21     -172.0    -161.005    11.255      0.0    
   700       740.39     2.4658      1.84      1.833       1.34      0.7754    13.1646     2.8739    27.0166     42.51      138.86     -175.0    -163.728    11.236      0.0    
   800       846.63     2.245       1.76      1.7321      1.2       0.2297     1.3107     1.2039    18.6327     42.93      135.17     -173.0    -161.691    10.857      0.0    
   900       952.86      2.2        1.48      1.6763      1.05      0.3087     0.3877     1.2852    884.0603    42.47      134.25     -171.0    -160.178    10.835      0.0    
   1000     1057.87      2.0        1.44      1.7205      1.2       0.2313     0.198      1.2557    27.5949     42.41      133.49     -174.0    -160.95     12.809      0.0    
   1100      1163.5     2.1071      1.4       1.5811      1.04      0.2135     3.256      1.0421    10.9674     43.07      132.63     -174.0    -161.345    12.534      0.0    
   1200     1268.49     2.0494      1.4       1.8083      1.17      0.389      8.2457     1.6602    629.3494    42.01      133.07     -172.0    -160.198    11.36       0.0    
   1300     1373.16     2.1909      1.6       1.5427      0.96      0.2655     0.6198     1.3108    471.9007     42.4      132.17     -172.0    -160.057    11.456      0.0    
   1400     1477.13      1.99       1.32      1.4663      0.97      0.1543     0.4557     0.9668    41.2379     42.41      132.37     -171.0    -158.067    12.686      0.0    
   1500     1581.28     2.1817      1.56      1.4731      0.95      0.1976     0.2898     0.8929    140.1761    43.21      132.36     -172.0    -159.706    12.688      0.0    
   1600     1685.56     2.2091      1.52      1.4663      0.89      0.2039     0.2102     0.8671    1339.362    43.49      132.34     -171.0    -158.786    12.662      0.0    
   1700     1789.69     2.2181      1.56      1.4731      0.93      0.2303     0.2053     0.9386    118.4317     43.6      132.82     -174.0    -159.852    13.768      0.0    
   1800     1894.24     2.2091      1.52      1.533       0.99      0.1642     0.6144     1.0538    28.8711     42.49      131.96     -172.0    -159.091    13.24       0.0    
   1900      1998.4     2.2091      1.36      1.6125      1.06      0.2688     1.5434     1.5417    244.8222    42.43      133.1      -173.0    -159.441    13.659      0.0    
   2000     2102.96     2.0298      1.32      1.5748      0.98      0.3125     0.9861     1.2819    130.5533    41.45      131.39     -173.0    -158.649    14.435      0.0    
   2100      2205.6     2.0688      1.4       1.5811      0.96      0.1632     0.5611     1.0108    186.8523    42.57      131.38     -174.0    -159.248    14.743      0.0    
   2200      2308.9     2.0199      1.36      1.5166      0.94      0.2772     0.2639     1.4443     37.754     42.92      131.96     -175.0    -159.582    14.97       0.0    
   2300     2413.57     2.0298      1.24      1.6583      1.03      0.2621     0.1329     1.3029    50.1789     42.12      132.79     -172.0    -157.287    14.775      0.0    
   2400     2516.88     2.1166      1.36      1.6279      1.03      0.171      0.1176     0.9718    27.0588     42.67      131.22     -173.0    -158.524    14.786      0.0    
   2500     2620.03     2.1817      1.4       1.5427      0.98      0.2741     0.0736     1.0928     39.708     43.54      131.65     -172.0    -157.563    14.643      0.0    
   2600     2724.45     2.245       1.52      1.6062      1.02      0.205      0.1594     1.3401    255.5314    43.21      131.73     -173.0    -158.562    14.645      0.0    
   2700     2828.16     2.1726      1.44      1.4697      0.94      0.1908     0.0967     1.0346    18.9046     42.79      131.37     -172.0    -157.122    14.497      0.0    
   2800     2932.43     1.8547      1.2       1.6125      1.04      0.2422     0.1012     1.1545   1069.8503    43.02      131.3      -172.0    -157.838    14.358      0.0    
   2900     3037.33     1.9287      1.24      1.5811      1.02      0.2365     0.1722     1.307     13.7635     42.37      130.48     -172.0    -158.177    14.322      0.0    
   3000     3141.97     2.1354      1.52      1.5264      1.03      0.2185     0.3201     1.173    12757.9352   43.02      131.12     -171.0    -157.881    13.558      0.0    
   3100      3248.0     1.9183      1.36      1.6062      1.06      0.2567     0.8878     1.2152    20.1412     43.04      131.21     -171.0    -157.496    13.153      0.0    
   3200     3353.69      2.2        1.48      1.6673      1.16      0.2543     3.0717     1.3365    136.5335    42.38      131.24     -170.0    -158.186    11.689      0.0    
   3300      3459.7     1.9698      1.32      1.5492      1.02      0.2661     0.3286     1.3935    73.0514     41.63      131.5      -169.0    -156.09     12.507      0.0    
   3400     3564.65     2.0785      1.36      1.4248      0.93      0.2366     1.3902     1.6112    15.1653     41.08      129.1      -169.0    -155.864    12.764      0.0    
   3500     3668.81     2.1448      1.64      1.5492      1.02       0.19      1.2077     1.1821    28.0729      41.7      130.6      -168.0    -155.075    13.16       0.0    
   3600     3774.39     2.0494      1.4       1.5748      1.06      0.1573      0.63      1.0932   18401.8541   42.19      128.83     -170.0    -156.132    13.816      0.0    
   3700     3878.68     2.0396      1.44      1.4866      0.99      0.1754     0.3561     1.0155    16.7048     43.06      129.51     -170.0    -156.751    13.616      0.0    
   3800     3983.07     2.2891      1.72      1.4526      0.97      0.2222     0.3246     1.2212    17.2783     42.23      129.01     -170.0    -156.892    13.463      0.0    
   3900      4086.1     2.0199      1.36      1.5684      1.1       0.1625     1.1363     1.0415    10.2546      41.1      129.81     -170.0    -157.289    13.048      0.0    
   4000      4189.5     2.4083      1.64      1.7205      1.22      0.2525     5.9132     1.4015    10.7992     42.71      130.63     -170.0    -157.522    12.86       0.0    
   4100     4294.19     2.3238      1.56      1.6882      1.09      0.4462     5.8828     2.0267    393.3391    42.38      130.99     -171.0    -158.313    13.13       0.0    
   4200     4397.63     2.1909      1.44      1.4663      0.91      0.2203     5.3198     1.4432    3573.551    41.86      128.21     -169.0    -155.648    13.448      0.0    
   4300     4500.98     2.2978      1.36      1.4283      0.88      0.2561     0.6097     1.6591    52.6727     41.51      127.26     -169.0    -155.447    13.667      0.0    
   4400      4604.0     2.2361      1.56      1.3379      0.91      0.2596     0.8546     1.5216    11.5882     43.05      127.24     -167.0    -153.676    13.637      0.0    
   4500     4706.62     2.1541      1.52      1.3892      0.89      0.2362     0.9015     1.2589    866.6961    42.02      126.79     -168.0    -153.941    13.705      0.0    
   4600     4810.15     2.0976      1.52      1.3784      0.94      0.2286     0.1523     1.3481     29.283      42.1      126.89     -168.0    -154.596    13.514      0.0    
   4700      4914.3     2.4331      1.68      1.3454      0.87      0.1952     0.4237     1.2994    17.3536     43.37      126.73     -168.0    -154.425    13.438      0.0    
   4800     5019.73     2.1633      1.48      1.253       0.85      0.152      0.3915     1.1455    16.6658     41.61      126.32     -167.0    -153.058    14.161      0.0    
   4900     5122.79     2.0688      1.48      1.3038      0.8       0.1698     0.2948     1.3332    16.8632     42.05      126.28     -167.0    -153.911    13.583      0.0    
   5000     5225.11     2.1071      1.4       1.3266      0.9       0.1791     0.1202     1.2219    23.9764     42.21      126.39     -168.0    -153.732    14.246      0.0    
   5100      5329.6      2.0        1.36      1.2124      0.79      0.1821     0.2208     1.2281     14.136     42.57      127.0      -168.0    -153.828    13.718      0.0    
   5200     5432.87     2.1817      1.48      1.3266      0.8       0.2304     0.2127     1.2584    187.741     42.58      125.52     -167.0    -153.123    13.774      0.0    
   5300     5536.23     2.2627      1.52      1.3748      0.93      0.1421     0.1304     0.9707    11.4754     41.92      126.59     -168.0    -153.976    13.668      0.0    
   5400     5640.55     2.1541      1.44      1.257       0.8       0.1779     0.0873     1.0826    11.4792     42.73      126.02     -169.0    -154.696    13.854      0.0    
   5500     5743.54     2.2271      1.6       1.3153      0.85      0.2101     0.4191     1.4246    255.2983    43.21      126.06     -167.0    -152.96     13.771      0.0    
   5600      5847.2     2.3238      1.56      1.3304      0.91      0.1328     0.2426     0.9232    12.4574     42.48      126.13     -168.0    -154.264    13.308      0.0    
   5700     5951.01      2.2        1.48      1.3856      0.9       0.1281     0.746      0.9598    115.9314     42.7      126.7      -167.0    -153.786     13.6       0.0    
   5800     6055.12     2.1909      1.44      1.4107      0.95      0.1609     1.4811     1.3776    23.0662     41.73      127.01     -168.0    -154.089    13.883      0.0    
   5900     6159.45     2.0976      1.52      1.4036      0.95      0.2004     0.9163     1.2445    13.4703     42.57      126.16     -168.0    -152.708    15.029      0.0    
   6000     6266.72     2.0976      1.44      1.4213      1.02      0.1595     1.1002     1.2456    28.9446     41.96      126.73     -169.0    -153.564    15.239      0.0    
   6100     6372.67     2.1909      1.44      1.4107      0.95      0.1945     0.3477     1.4822    10.9351     41.79      126.93     -169.0    -154.21     14.916      0.0    
   6200     6479.17     2.2271      1.52      1.546       1.01      0.202      0.5875     1.5308    13.7303     42.61      127.03     -170.0    -154.28     15.697      0.0    
   6300     6584.22     2.1354      1.44      1.4933      0.99      0.1906     1.0924     1.3899    10.6814     41.55      127.8      -172.0    -156.462    15.546      0.0    
   6400     6690.18     1.9287      1.24      1.5264      1.01      0.1217     0.738      1.1009    13.0685     42.41      128.68     -171.0    -155.342    15.844      0.0    
   6500     6796.86     2.1541      1.36      1.4526      0.95      0.0994     0.5414     1.1303   1919.4929    42.15      129.0      -172.0    -156.832    15.518      0.0    
   6600     6904.51     1.9494      1.4       1.4353      0.9       0.1613     0.3927     1.2466    15.4866     41.93      128.21     -172.0    -155.528    16.525      0.0    
   6700     7010.31     2.0298      1.32      1.3856      0.9       0.1288     0.3931     1.0917    51.2199      42.0      128.35     -171.0    -154.473    16.539      0.0    
   6800     7116.89     2.0688      1.48      1.4213      0.9       0.1573     0.3063     1.1575    11.9001      41.6      127.43     -171.0    -154.878    15.911      0.0    
   6900     7224.19      2.01       1.4        1.49       0.92      0.1547     0.3694      1.27     23.7517     41.82      128.01     -171.0    -155.498    15.764      0.0    
   7000     7330.05     2.0396      1.36      1.382       0.91      0.1787     0.2333     1.0853    42.6928     42.22      127.69     -169.0    -153.879    15.431      0.0    
   7100     7436.45     2.0688      1.48       1.51       0.94      0.1277     0.2069     1.0045    27.7353     43.23      127.73     -170.0    -154.613    15.095      0.0    
   7200     7543.14     2.3065      1.48      1.4387      0.91      0.1881     0.2598     1.4403     17.573     42.82      127.08     -169.0    -154.09     14.871      0.0    
   7300     7650.93     2.1909      1.44      1.4177      0.89      0.1191     0.1822     1.1303    38.1951     42.39      128.12     -170.0    -155.643    14.319      0.0    
   7400     7759.58      2.2        1.48      1.4799      0.95      0.156      0.1714     1.1021    18.1748     42.96      127.84     -170.0    -156.054    14.056      0.0    
   7500     7866.64      2.01       1.4       1.4036      0.89      0.1056     0.2439     0.9506     10.509     42.92      127.57     -169.0    -155.227    13.778      0.0    
   7600     7973.39     2.0976      1.52      1.4765      0.94      0.089      0.399      1.063     188.4087    42.81      127.98     -169.0    -155.187    13.713      0.0    
   7700     8082.35     2.0688      1.48      1.4283      0.9       0.1267     0.6179     1.0949    12.4415     41.43      127.52     -169.0    -155.672    13.35       0.0    
   7800     8190.87     2.1726      1.52      1.5033      0.98      0.1069     0.8778     1.0472    10.4948     41.71      128.02     -169.0    -155.563    13.223      0.0    
   7900     8299.58     2.1166      1.52      1.4318      0.97      0.1119     1.5708     1.0933    163.2594    41.62      128.07     -167.0    -154.315    12.96       0.0    
   8000      8407.1     2.0298      1.48      1.5199      1.07      0.1035     0.6233     1.1751    35.3445     42.76      127.84     -168.0    -154.736    13.182      0.0    
   8100     8513.66     2.0688      1.32      1.4629      0.96      0.1115     1.0123     1.1713    18.1699      42.0      128.34     -169.0    -156.116    13.065      0.0    
   8200     8619.53     2.1071      1.48      1.3964      0.87      0.1152     0.5735     1.185      10.642     43.09      127.05     -168.0    -154.405    13.108      0.0    
   8300      8724.5     2.3152      1.52      1.4697      0.94      0.1109     0.694      1.1602    74.2415     43.19      127.01     -167.0    -154.088    13.388      0.0    
   8400     8832.46     1.9698      1.32      1.4663      0.97      0.1373     0.4741     1.0385    287.3702    42.64      125.94     -166.0    -153.101    13.31       0.0    
   8500     8938.97     2.1633      1.48      1.3892      0.89      0.0977     0.4237     0.9548    944.088     43.11      127.22     -169.0    -155.223    13.732      0.0    
   8600     9044.14     2.2804      1.52      1.2649      0.82      0.1242     0.3832     1.1173     35.263     42.84      126.71     -167.0    -152.848    13.881      0.0    
   8700     9151.12     2.126       1.32      1.4071      0.92      0.1439     0.4899     1.1564    12.2003     42.39      127.18     -169.0    -154.527     14.0       0.0    
   8800     9258.28     2.1541      1.44      1.2649      0.78      0.1249     0.4267     1.0838    10.5139     42.57      125.94     -168.0    -153.705    14.186      0.0    
   8900     9365.87     1.8974      1.2       1.3266      0.84      0.2085     0.2724     1.5122    12.7513     42.24      126.38     -168.0    -153.025    15.287      0.0    
   9000     9473.25     2.0976      1.44      1.3601      0.87      0.2279     0.3524     1.335     11.5642     42.31      126.67     -169.0    -153.507    15.017      0.0    
   9100     9577.96     2.0396      1.36      1.3266      0.8       0.2052     0.2205     1.2255    246.8133    42.68      125.92     -169.0    -154.198    15.172      0.0    
   9200     9683.15     2.1726      1.52      1.3342      0.9       0.1412     0.156      1.3914    47.8066      42.5      125.98     -169.0    -153.587    15.108      0.0    
   9300     9789.05     2.3065      1.64      1.3638      0.86      0.1324     0.1256     1.1574    141.9182    42.61      126.32     -171.0    -155.447    15.309      0.0    
   9400     9893.95     2.2804      1.52      1.382       0.87      0.1217     0.1375     0.9465    23.0044      42.1      125.33     -167.0    -152.295    14.905      0.0    
   9500     9998.71     2.0199      1.36      1.3491      0.82      0.2335     0.2079     1.181     11.5649     42.62      125.89     -168.0    -153.225    14.816      0.0    
   9600     10105.93    2.1726      1.36      1.3928      0.9       0.1513     0.1099     1.2461    14.6724     41.93      126.43     -169.0    -154.058    15.085      0.0    
   9700     10211.99    1.9698      1.48      1.4036      0.87      0.1656     0.2677     1.2213    18.8906     43.73      125.75     -169.0    -153.255    15.35       0.0    
   9800     10318.48    2.2804      1.6       1.4177      0.89      0.089      0.0863     0.9597    25.8521     42.65      125.37     -169.0    -153.979    15.188      0.0    
   9900     10427.49    2.1166      1.44      1.2689      0.81      0.1683     0.0815     1.0893    14.6028     41.45      124.92     -169.0    -153.788    14.889      0.0    
  10000     10534.48    2.0298      1.32      1.3379      0.85      0.1305     0.0924     0.9538    64.5499      42.1      125.79     -167.0    -152.096    14.817      0.0    
  10100     10642.2     1.9287      1.32      1.2884      0.78      0.1239     0.078      1.0782    24.0189     42.89      125.46     -168.0    -152.886    14.919      0.0    
  10200     10751.76    2.0688      1.48      1.3964      0.87      0.125      0.262      1.0351    13.4971     42.42      125.36     -167.0    -152.616    14.715      0.0    
  10300     10859.47    2.2978      1.6       1.245       0.79      0.1293     0.0683     1.0833    24.0931     42.42      124.77     -168.0    -153.353    14.542      0.0    
  10400     10967.79    2.126       1.48      1.3565      0.88      0.1453     0.2864     0.989     177.2217    42.33      125.45     -167.0    -152.737    14.415      0.0    
  10500     11075.65    2.126       1.48      1.3191      0.8       0.1553     0.1067     1.049     16.5599     42.54      124.77     -168.0    -153.634    14.736      0.0    
  10600     11185.03    1.9183      1.2       1.4283      0.92      0.1523     0.285       0.88     22.9132     42.07      125.46     -169.0    -154.583    14.463      0.0    
  10700     11291.76    2.1354      1.44      1.3038      0.86      0.1052     0.2727     0.9646    111.2283    42.48      124.84     -168.0    -153.112     14.5       0.0    
  10800     11401.66    2.0494      1.32      1.4457      0.91      0.2066     0.1156     1.2089    16.2056     42.38      125.85     -168.0    -153.334    14.523      0.0    
  10900     11512.16    2.1909      1.44      1.3711      0.88      0.102      0.0713     1.0215     16.609     42.99      126.46     -168.0    -153.832    14.192      0.0    
  11000     11621.06    2.1166      1.44      1.3964      0.91      0.1138     0.2042     0.9349    13.3806     43.09      124.98     -167.0    -152.857    14.175      0.0    
  11100     11732.03     1.99       1.24      1.3601      0.83      0.1196     0.5189     0.9521    50.0023     42.52      125.26     -167.0    -153.146    14.26       0.0    
  11200     11841.49    2.1541      1.44      1.4595      0.93      0.1204     0.0831     1.1113    13.7549     42.52      126.2      -168.0    -153.619    14.187      0.0    
  11300     11949.36    2.2716      1.48      1.3711      0.88      0.1253     0.0856     1.3458     24.651     42.45      125.3      -167.0    -152.994    14.207      0.0    
  11400     12057.8     2.1817      1.4       1.4071      0.9       0.0983     0.1165     1.0739    56.8572      42.6      125.57     -167.0    -153.24      14.2       0.0    
  11500     12166.96    2.0494      1.4       1.4526      0.93      0.1521     0.1685     1.1829    11.9994     42.31      126.06     -166.0    -152.011    13.984      0.0    
  11600     12273.66    2.0396      1.28      1.5033      1.0       0.1318     0.3615     1.1057    41.0274     41.79      125.15     -168.0    -153.799    13.77       0.0    
  11700     12381.84     2.01       1.24      1.3748      0.83      0.1204     0.1681     1.1986    26.9934      42.0      126.78     -165.0    -151.475    13.85       0.0    
  11800     12490.74    2.0591      1.36      1.4071      0.9       0.1654     0.2389     1.1963    11.4557      42.7      125.77     -168.0    -153.759    13.846      0.0    
  11900     12600.09    2.1909      1.36      1.4799      0.97      0.1297     0.2978     1.2497    22.8223     41.32      126.54     -167.0    -153.219    13.969      0.0    
  12000     12709.88    2.0688      1.4       1.4491      0.96      0.1352     0.196      0.9785    83.6692     41.89      126.69     -167.0    -153.073    13.639      0.0    
  12100     12818.63    2.1354      1.44      1.3928      0.88      0.0959     0.1356     1.056     17.0081      42.1      125.82     -166.0    -152.616    13.627      0.0    
  12200     12927.32    2.0688      1.4       1.382       0.89      0.0958     0.1886     1.0401    232.4139    42.43      126.82     -166.0    -152.942    13.482      0.0    
  12300     13035.86    1.9799      1.28      1.4832      0.96      0.1502     0.2061     1.3803    375.8869    42.35      126.46     -168.0    -154.272    13.604      0.0    
  12400     13145.22    2.0785      1.52      1.4036      0.97      0.0821     0.1914     1.141     10.6342     42.15      126.67     -168.0    -154.213    13.396      0.0    
  12500     13253.54    2.1909      1.52       1.4        0.92      0.1206     0.2082     1.2618    38.0791     41.43      127.4      -169.0    -155.809    13.199      0.0    
  12600     13362.95     1.99       1.32      1.3711      0.88      0.1024     0.2239     1.0863    15.6364     41.67      126.91     -167.0    -154.043    13.247      0.0    
  12700     13471.85    2.0591      1.36      1.3892      0.89      0.1815     0.2677     1.4085     49.024     41.66      126.11     -168.0    -154.367    13.153      0.0    
  12800     13580.69    2.0494      1.32      1.4765      0.96      0.0963     0.1848     1.205      26.025     41.45      127.22     -167.0    -154.159    12.813      0.0    
  12900     13689.89    2.1541      1.44      1.382       0.93      0.1057     0.2618     1.0074     9.8095     41.96      125.64     -166.0    -153.381    13.083      0.0    
  13000     13799.9     2.0688      1.24      1.3748      0.87      0.096      0.2096     1.1144    40.4563     42.23      126.92     -168.0    -155.067    12.862      0.0    
  13100     13908.1     2.126       1.24      1.5297      1.04      0.0791     0.3406     1.0169    34.1928     41.42      126.17     -166.0    -153.301    12.636      0.0    
  13200     14016.37    2.0298      1.16      1.382       0.87      0.1144     0.2194     1.0831    22.0481     41.84      125.73     -167.0    -154.114    12.882      0.0    
  13300     14123.63    1.9596      1.28      1.4213      0.94      0.0756     0.147      1.0128    147.2853    42.18      125.95     -167.0    -154.013    12.86       0.0    
  13400     14231.67    1.8974      1.2       1.3379      0.83      0.0941     0.1542     1.1124    96.8176     42.23      126.44     -168.0    -154.132    13.618      0.0    
  13500     14339.75    2.1071      1.32      1.3856      0.86      0.0803     0.2848     0.9504    11.5643      41.9      125.41     -167.0    -154.018    13.313      0.0    
  13600     14447.97    2.0688      1.4       1.3856      0.9       0.1545     0.1278     1.3777    17.0778     42.11      126.14     -167.0    -153.602    13.446      0.0    
  13700     14556.53    2.0199      1.36      1.3229      0.81      0.1692     0.132      1.5415    612.9284    41.81      125.34     -166.0    -152.794    13.509      0.0    
  13800     14664.33    2.0298      1.4       1.261       0.79      0.0863     0.1223     0.9384    132.6271    42.84      125.31     -166.0    -152.649    13.253      0.0    
  13900     14773.44    2.2181      1.48      1.3675      0.85      0.0857     0.0979     1.014     15.9617     41.77      125.92     -168.0    -153.061    14.63       0.0    
  14000     14882.41    2.126       1.32       1.4        0.86      0.0917     0.1186     0.9306    380.9562    41.87      125.24     -167.0    -152.657    14.446      0.0    
  14100     14990.02    2.2271      1.36      1.3491      0.88      0.0761     0.1079     0.9161    14.9069     41.52      124.97     -167.0    -152.646    14.267      0.0    
  14200     15099.33    1.8762      1.2        1.51       0.94      0.124      0.1203     1.1801    20.8716     41.33      125.35     -167.0    -152.867    14.448      0.0    
  14300     15206.18    2.1633      1.4       1.245       0.77      0.0874     0.1242     1.165     24.3586     41.85      126.07     -168.0    -153.223    14.28       0.0    
  14400     15314.38    2.0881      1.48      1.2961      0.8       0.1316     0.0917     1.0878    13.8047     41.58      124.99     -167.0    -152.939    14.414      0.0    
  14500     15423.79    1.9079      1.24      1.3416      0.86      0.1164     0.0885     1.1123    11.7703     41.86      125.34     -168.0    -153.509    14.21       0.0    
  14600     15531.62    2.0881      1.32      1.3379      0.83      0.0624     0.1794     0.7632    14.2886      41.4      125.02     -167.0    -152.993    13.935      0.0    
  14700     15641.08     2.0        1.28      1.4071      0.9       0.0777     0.1181     0.8692    15.0182     42.53      125.27     -166.0    -151.798    14.301      0.0    
  14800     15750.11    1.9079      1.16      1.3748      0.87      0.099      0.2186     0.8792    12.2364     41.79      125.18     -167.0    -152.941    14.204      0.0    
  14900     15859.17    2.0199      1.28      1.3342      0.86      0.0669     0.5103     0.8181    15.6174     41.48      125.21     -167.0    -153.231    14.06       0.0    
  15000     15966.83    2.0396      1.36       1.3        0.85       0.08      0.0929     0.8959    19.5247     41.43      124.64     -166.0    -151.886    14.004      0.0    
  15100     16075.39    2.1909      1.52      1.3748      0.91      0.1364     0.4137     1.1942    37.7841     41.38      125.43     -166.0    -151.797    13.966      0.0    
  15200     16184.36    2.2361      1.56      1.3416      0.88      0.111      0.4618     1.0754    10.6941     42.49      125.08     -167.0    -152.772    13.982      0.0    
  15300     16294.42    2.0785      1.44      1.4422      0.96      0.1195     0.5977     1.0435     14.506     41.57      125.55     -166.0    -152.184    13.994      0.0    
  15400     16401.89    1.8439      1.16      1.4142      0.96      0.0782     0.4308     0.9016    10.3467     41.13      125.95     -167.0    -153.001    13.825      0.0    
  15500     16511.85    2.0688      1.48      1.3711      0.94      0.0936     0.7731     1.1578    43.3604     42.11      126.02     -167.0    -153.278    13.907      0.0    
  15600     16621.25    2.3152      1.52      1.4799      1.01      0.0935     1.1976     1.1031    12.6237     42.44      125.73     -168.0    -154.63     13.838      0.0    
  15700     16730.03    2.245       1.52      1.4663      1.03      0.1693     1.4884     1.3798     13.951     42.03      126.37     -167.0    -153.075    13.858      0.0    
  15800     16838.43    2.1817      1.4       1.6583      1.19      0.0892     0.8159     1.0678    28.8892     41.39      126.78     -166.0    -152.758    13.602      0.0    
  15900     16946.89    2.3238      1.8       1.634       1.11      0.0967     1.609      1.2051    10.4885     41.45      126.61     -168.0    -154.324    13.68       0.0    
  16000     17055.46    2.2361      1.64      1.4283      0.96      0.1391     0.6348     1.3771    12.2347     41.94      126.56     -169.0    -154.52     14.157      0.0    
